merged,Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM_Pct,Height_inch,Yield_MgHa
WA_2020_1,WA,1,1,10101,123,1,4,2020,1,3.1,18.9583333333,25.5,6.92
WA_2020_1,WA,1,2,10102,29,1,3,2020,1,4.3,14.9525316456,20.4,3.79
WA_2020_1,WA,1,3,10103,162,1,2,2020,1,3.2,18.2252668472,26.9,6.06
WA_2020_1,WA,1,4,10104,201,1,1,2020,1,3.5,17.771975631,23.8,6.52
WA_2020_1,WA,1,5,10105,126,2,4,2020,1,3.4,16.471175443,21.2,4.82
WA_2020_1,WA,1,6,10106,191,2,3,2020,1,3.7,19.5933165195,22.7,5.83
WA_2020_1,WA,1,7,10107,159,2,2,2020,1,3.1,18.0580357143,27.6,8.49
WA_2020_1,WA,1,8,10108,139,2,1,2020,1,2.8,16.6930630345,22.3,7.2
WA_2020_1,WA,1,9,10109,77,3,4,2020,1,3.8,17.3112338858,19.3,3.85
WA_2020_1,WA,1,10,10110,69,3,3,2020,1,3,15.7818532819,23.7,4.68
WA_2020_1,WA,1,11,10111,121,3,2,2020,1,3.4,18.2688472278,22.9,5.6
WA_2020_1,WA,1,12,10112,84,3,1,2020,1,3.8,16.7556980057,27,5.77
WA_2020_1,WA,1,13,10113,133,4,4,2020,1,3.7,17.660616537,19.3,3.84
WA_2020_1,WA,1,14,10114,125,4,3,2020,1,3.4,13.6322463768,19.2,3.17
WA_2020_1,WA,1,15,10115,202,4,2,2020,1,3.5,18.9981348255,26.2,7.08
WA_2020_1,WA,1,16,10116,32,4,1,2020,1,3.5,17.5330182964,26.7,6.33
WA_2020_1,WA,1,17,10117,37,5,4,2020,1,3.8,17.5024777007,21.3,3.88
WA_2020_1,WA,1,18,10118,13,5,3,2020,1,3.4,17.7278401998,21.6,4.95
WA_2020_1,WA,1,19,10119,116,5,2,2020,1,3.3,18.6696592532,25.3,6.03
WA_2020_1,WA,1,20,10120,164,5,1,2020,1,3,18.1005110733,24.1,7.4
WA_2020_1,WA,2,1,10201,35,6,4,2020,1,3.9,18.5202100936,25.8,4.88
WA_2020_1,WA,2,2,10202,146,6,3,2020,1,3.4,18.6094721735,25.9,7.79
WA_2020_1,WA,2,3,10203,43,6,2,2020,1,3.6,16.9419419419,24.6,4.35
WA_2020_1,WA,2,4,10204,24,6,1,2020,1,3.8,17.1675707374,25.8,5.68
WA_2020_1,WA,2,5,10205,202,7,4,2020,1,3.7,19.1588165052,26.4,6.04
WA_2020_1,WA,2,6,10206,104,7,3,2020,1,3.5,18.1743757675,25.2,6.15
WA_2020_1,WA,2,7,10207,76,7,2,2020,1,3.6,19.0702991046,22.3,6.01
WA_2020_1,WA,2,8,10208,107,7,1,2020,1,3.3,19.3786982249,27.7,7.47
WA_2020_1,WA,2,9,10209,158,8,4,2020,1,3.7,19.3890489914,28.8,7.38
WA_2020_1,WA,2,10,10210,195,8,3,2020,1,3.4,18.8338301043,26.9,7.11
WA_2020_1,WA,2,11,10211,78,8,2,2020,1,3.7,16.2224415926,23,4.51
WA_2020_1,WA,2,12,10212,3,8,1,2020,1,3.1,19.2041000904,27.7,6.58
WA_2020_1,WA,2,13,10213,82,9,4,2020,1,3.6,17.9052077238,28.2,6.1
WA_2020_1,WA,2,14,10214,201,9,3,2020,1,3.7,19.5353512789,26.3,7.68
WA_2020_1,WA,2,15,10215,34,9,2,2020,1,3.3,18.5493010956,26.8,7.67
WA_2020_1,WA,2,16,10216,156,9,1,2020,1,3.9,18.5228196493,27.4,7.36
WA_2020_1,WA,2,17,10217,6,10,4,2020,1,3,18.9053728949,25.9,5.05
WA_2020_1,WA,2,18,10218,52,10,3,2020,1,3.4,16.7693360712,22.7,5.32
WA_2020_1,WA,2,19,10219,90,10,2,2020,1,3.7,17.3090399439,21.7,3.61
WA_2020_1,WA,2,20,10220,140,10,1,2020,1,3.3,19.6323816973,26.6,7.16
WA_2020_1,WA,3,1,10301,91,11,4,2020,1,3.6,17.5525935442,27.2,6.77
